time, amp
230.037333,-47.076149
230.058667,-49.073731
230.080000,-49.777767
230.101333,-48.016286
230.122667,-47.756127
230.144000,-49.258292
230.165333,-51.580392
230.186667,-49.176118
230.208000,-47.128139
230.229333,-47.200766
230.250667,-42.477253
230.272000,-46.614542
230.293333,-47.435246
230.314667,-48.106628
230.336000,-49.194150
230.357333,-51.380850
230.378667,-48.994474
230.400000,-43.726649
230.421333,-47.795636
230.442667,-43.556363
230.464000,-47.145949
230.485333,-45.387521
230.506667,-48.483721
230.528000,-47.766244
230.549333,-45.898755
230.570667,-44.062942
230.592000,-44.489273
230.613333,-47.014370
230.634667,-44.750204
230.656000,-47.513620
230.677333,-44.623032
230.698667,-43.326664
230.720000,-49.225097
230.741333,-44.168728
230.762667,-47.661824
230.784000,-51.993533
230.805333,-45.035172
230.826667,-49.673620
230.848000,-47.672415
230.869333,-42.496413
230.890667,-45.628542
230.912000,-51.639304
230.933333,-49.731090
230.954667,-51.636934
230.976000,-48.690147
230.997333,-48.831446
231.018667,-49.977195
231.040000,-48.927686
231.061333,-45.253734
231.082667,-48.845059
231.104000,-50.320600
231.125333,-46.837165
231.146667,-46.847961
231.168000,-47.256371
231.189333,-49.299345
231.210667,-49.308051
231.232000,-46.791002
231.253333,-46.867439
231.274667,-48.416808
231.296000,-43.032417
231.317333,-46.435676
231.338667,-42.559380
231.360000,-49.694359
231.381333,-45.854881
231.402667,-47.262560
231.424000,-49.860409
231.445333,-46.323775
231.466667,-49.031217
231.488000,-43.864035
231.509333,-50.314425
231.530667,-51.231829
231.552000,-55.068978
231.573333,-48.019953
231.594667,-44.954997
231.616000,-47.388717
231.637333,-48.105351
231.658667,-47.824074
231.680000,-51.698753
231.701333,-51.162161
231.722667,-45.352673
231.744000,-47.240467
231.765333,-43.817933
231.786667,-47.061968
231.808000,-48.468200
231.829333,-48.827245
231.850667,-49.881987
231.872000,-45.952048
231.893333,-47.935833
231.914667,-44.266986
231.936000,-46.174872
231.957333,-48.256463
231.978667,-48.301882
232.000000,-53.200632
232.021333,-46.945093
232.042667,-49.307734
232.064000,-49.980552
232.085333,-45.349295
232.106667,-48.030135
232.128000,-52.701823
232.149333,-45.934991
232.170667,-49.695286
232.192000,-47.180201
232.213333,-43.876978
232.234667,-50.504059
232.256000,-47.538479
232.277333,-48.846713
232.298667,-46.796622
232.320000,-51.583275
232.341333,-47.876103
232.362667,-47.717329
232.384000,-49.051265
232.405333,-48.522369
232.426667,-48.507203
232.448000,-46.775479
232.469333,-45.305187
232.490667,-48.349231
232.512000,-48.133290
232.533333,-47.235893
232.554667,-45.896708
232.576000,-46.219458
232.597333,-47.559772
232.618667,-45.415507
232.640000,-45.529615
232.661333,-49.340808
232.682667,-48.911835
